,y_true,y_pred
0,1.0,0.0032422214
1,1.0,0.0014534115
2,1.0,0.004570928
3,1.0,0.058891624
4,1.0,0.99811137
5,1.0,0.021304207
6,1.0,0.004482953
7,1.0,0.96285945
8,1.0,0.0013223138
9,1.0,0.67520607
10,1.0,0.055635154
11,1.0,0.098975904
12,1.0,0.95449924
13,1.0,0.9977864
14,1.0,0.0709539
15,1.0,0.006735528
16,1.0,0.15734027
17,1.0,0.074184135
18,1.0,0.49799144
19,1.0,0.02306811
20,1.0,0.1661482
21,1.0,0.868996
22,1.0,0.049490202
23,1.0,0.31118947
24,1.0,0.52319545
25,1.0,0.8804539
26,1.0,0.9945825
27,1.0,0.7051089
28,1.0,0.9681645
29,1.0,0.0007460521
30,1.0,0.00010976796
31,1.0,0.0763443
32,1.0,0.7438291
33,1.0,0.015686994
34,1.0,0.9536264
35,1.0,0.2739073
36,1.0,0.31979555
37,1.0,0.038597845
38,1.0,0.026049832
39,1.0,0.51968586
40,1.0,0.15094016
41,1.0,0.48420358
42,1.0,0.0076436456
43,1.0,0.7598725
44,1.0,1.9257977e-05
45,1.0,0.99983907
46,1.0,0.3426037
47,1.0,0.07093859
48,1.0,0.00064322475
49,1.0,0.7834387
50,1.0,0.056679267
51,1.0,0.095996164
52,1.0,0.99986506
53,1.0,0.0014631351
54,1.0,0.8173692
55,1.0,0.7386689
56,1.0,0.99996495
57,1.0,0.8352917
58,1.0,0.75268215
59,1.0,0.5761821
60,1.0,0.4271108
61,1.0,0.020853354
62,1.0,0.93863404
63,1.0,1.4403299e-05
64,1.0,0.001189566
65,1.0,0.9999713
66,1.0,0.96533835
67,1.0,0.0041391556
68,1.0,0.99991584
69,1.0,0.042119835
70,1.0,0.99979895
71,1.0,0.48042595
72,1.0,0.0028892981
73,1.0,0.990934
74,1.0,0.99997115
75,1.0,0.45503122
76,1.0,0.0947764
77,1.0,0.9917631
78,1.0,0.027230116
79,1.0,0.4122494
80,1.0,0.89884275
81,1.0,0.4747187
82,1.0,0.029101128
83,1.0,0.99804735
84,1.0,0.011848798
85,1.0,0.9815741
86,1.0,0.46967807
87,1.0,0.019695384
88,1.0,0.012768302
89,1.0,0.97225606
90,1.0,0.0011939331
91,1.0,0.050894834
